#;Org.;Serie;Test;Nr.;Version;Messfühler;PEAK;PEACOCK;Median_EXP;Median_SIM
1;IRSN;PRISME;DOOR;5;FDS607;TG_L1_L2_205;0.11;0.19;196.89;191.0
2;IRSN;PRISME;DOOR;5;FDS607;TG_L1_L2_192_5;0.12;0.19;183.07;189.0
3;IRSN;PRISME;DOOR;5;FDS607;TG_L1_L2_180;0.15;0.22;169.42;182.0
4;IRSN;PRISME;DOOR;5;FDS607;TG_L1_L2_167_5;0.19;0.24;166.0;176.0
5;IRSN;PRISME;DOOR;5;FDS607;TG_L1_L2_155;0.25;0.26;157.61;162.0
6;IRSN;PRISME;DOOR;5;FDS607;TG_L1_L2_142_5;0.29;0.33;138.6;149.0
7;IRSN;PRISME;DOOR;5;FDS607;TG_L1_L2_130;0.36;0.44;119.72;129.0
8;IRSN;PRISME;DOOR;5;FDS607;TG_L1_L2_117_5;0.65;0.69;88.35;115.0
9;IRSN;PRISME;DOOR;5;FDS607;TG_L1_L2_105;1.39;0.85;75.76;99.4
10;IRSN;PRISME;DOOR;5;FDS607;TG_L1_L2_092_5;1.04;0.38;75.01;91.3
11;IRSN;PRISME;DOOR;5;FDS607;TG_L1_L2_080;1.84;0.38;71.39;89.5
12;IRSN;PRISME;DOOR;5;FDS607;TG_L1_L2_055;2.5;0.4;66.97;81.8
13;IRSN;PRISME;DOOR;5;FDS607;TG_L1_L2_030;3.19;0.52;57.64;75.5
14;IRSN;PRISME;DOOR;5;FDS607;TG_L1_L2_005;4.94;0.86;39.55;64.9
15;IRSN;PRISME;DOOR;5;FDS607;TG_L1_L2_00025;3.7;0.72;39.61;59.9
16;IRSN;PRISME;DOOR;5;FDS607;TG_L1_L2_S105;1.52;0.81;75.9;101.0
17;IRSN;PRISME;DOOR;5;FDS607;TG_L1_FP_350;-0.2;0.38;276.15;208.0
18;IRSN;PRISME;DOOR;5;FDS607;TG_L1_FP_340;0.23;0.29;270.54;259.0
19;IRSN;PRISME;DOOR;5;FDS607;TG_L1_FP_315;0.05;0.34;262.74;237.0
20;IRSN;PRISME;DOOR;5;FDS607;TG_L1_FP_290;0.03;0.37;263.14;227.0
21;IRSN;PRISME;DOOR;5;FDS607;TG_L1_FP_265;-0.05;0.41;268.22;221.0
22;IRSN;PRISME;DOOR;5;FDS607;TG_L1_FP_240;-0.07;0.44;269.76;218.0
23;IRSN;PRISME;DOOR;5;FDS607;TG_L1_FP_215;-0.08;0.47;276.13;211.0
24;IRSN;PRISME;DOOR;5;FDS607;TG_L1_FP_190;-0.08;0.5;287.4;205.0
25;IRSN;PRISME;DOOR;5;FDS607;TG_L1_FP_165;-0.08;0.52;297.1;194.0
26;IRSN;PRISME;DOOR;5;FDS607;TG_L1_FP_140;-0.06;0.55;331.15;184.0
27;IRSN;PRISME;DOOR;5;FDS607;TG_L1_FP_115;-0.0;0.58;363.64;169.0
28;IRSN;PRISME;DOOR;5;FDS607;TG_L1_FP_090;0.02;0.59;397.43;158.0
29;IRSN;PRISME;DOOR;5;FDS607;TG_L1_FP_065;0.03;0.62;446.32;140.0
30;IRSN;PRISME;DOOR;5;FDS607;TG_L1_FP_040;0.09;0.65;541.85;127.0
31;IRSN;PRISME;DOOR;5;FDS607;TG_L1_FP_015;0.23;0.67;522.39;120.0
32;IRSN;PRISME;DOOR;5;FDS607;TG_L1_NW_390;-0.22;0.27;245.1;219.0
33;IRSN;PRISME;DOOR;5;FDS607;TG_L1_NW_380;0.29;0.23;241.94;276.0
34;IRSN;PRISME;DOOR;5;FDS607;TG_L1_NW_355;0.09;0.19;229.32;238.0
35;IRSN;PRISME;DOOR;5;FDS607;TG_L1_NW_330;0.09;0.19;221.33;228.0
36;IRSN;PRISME;DOOR;5;FDS607;TG_L1_NW_305;0.05;0.19;216.07;220.0
37;IRSN;PRISME;DOOR;5;FDS607;TG_L1_NW_280;0.07;0.18;210.5;217.0
38;IRSN;PRISME;DOOR;5;FDS607;TG_L1_NW_255;0.06;0.18;205.35;212.0
39;IRSN;PRISME;DOOR;5;FDS607;TG_L1_NW_230;0.06;0.18;200.0;205.0
40;IRSN;PRISME;DOOR;5;FDS607;TG_L1_NW_205;0.09;0.19;192.25;194.0
41;IRSN;PRISME;DOOR;5;FDS607;TG_L1_NW_180;0.12;0.2;185.01;185.0
42;IRSN;PRISME;DOOR;5;FDS607;TG_L1_NW_155;0.1;0.22;177.21;165.0
43;IRSN;PRISME;DOOR;5;FDS607;TG_L1_NW_130;0.1;0.23;166.65;148.0
44;IRSN;PRISME;DOOR;5;FDS607;TG_L1_NW_105;0.2;0.26;139.23;125.0
45;IRSN;PRISME;DOOR;5;FDS607;TG_L1_NW_080;0.35;0.43;100.59;112.0
46;IRSN;PRISME;DOOR;5;FDS607;TG_L1_NW_055;0.5;0.46;78.35;96.0
47;IRSN;PRISME;DOOR;5;FDS607;TG_L1_NW_030;0.37;0.44;70.44;90.8
48;IRSN;PRISME;DOOR;5;FDS607;TG_L1_NW_005;0.83;0.47;63.81;84.7
49;IRSN;PRISME;DOOR;5;FDS607;TG_L1_SE_390;-0.34;0.34;236.33;194.0
50;IRSN;PRISME;DOOR;5;FDS607;TG_L1_SE_380;0.06;0.2;234.97;246.0
51;IRSN;PRISME;DOOR;5;FDS607;TG_L1_SE_355;-0.07;0.2;223.29;228.0
52;IRSN;PRISME;DOOR;5;FDS607;TG_L1_SE_330;-0.04;0.19;214.11;220.0
53;IRSN;PRISME;DOOR;5;FDS607;TG_L1_SE_305;0.01;0.19;211.58;215.0
54;IRSN;PRISME;DOOR;5;FDS607;TG_L1_SE_280;0.01;0.19;206.45;212.0
55;IRSN;PRISME;DOOR;5;FDS607;TG_L1_SE_255;0.0;0.19;199.91;205.0
56;IRSN;PRISME;DOOR;5;FDS607;TG_L1_SE_230;0.03;0.19;189.88;199.0
57;IRSN;PRISME;DOOR;5;FDS607;TG_L1_SE_205;0.06;0.2;185.33;187.0
58;IRSN;PRISME;DOOR;5;FDS607;TG_L1_SE_180;0.08;0.21;177.42;177.0
59;IRSN;PRISME;DOOR;5;FDS607;TG_L1_SE_155;0.13;0.22;168.06;160.0
60;IRSN;PRISME;DOOR;5;FDS607;TG_L1_SE_130;0.19;0.24;157.13;146.0
61;IRSN;PRISME;DOOR;5;FDS607;TG_L1_SE_105;0.22;0.26;139.83;124.0
62;IRSN;PRISME;DOOR;5;FDS607;TG_L1_SE_080;0.18;0.39;96.54;109.0
63;IRSN;PRISME;DOOR;5;FDS607;TG_L1_SE_055;0.24;0.37;80.5;90.2
64;IRSN;PRISME;DOOR;5;FDS607;TG_L1_SE_030;0.4;0.39;71.19;80.9
65;IRSN;PRISME;DOOR;5;FDS607;TG_L1_SE_005;0.37;0.33;63.57;72.0
66;IRSN;PRISME;DOOR;5;FDS607;TG_L2_CC_390;-0.23;0.26;128.64;107.0
67;IRSN;PRISME;DOOR;5;FDS607;TG_L2_CC_380;0.35;0.32;120.65;137.0
68;IRSN;PRISME;DOOR;5;FDS607;TG_L2_CC_355;0.35;0.31;110.34;124.0
69;IRSN;PRISME;DOOR;5;FDS607;TG_L2_CC_330;0.33;0.29;107.94;120.0
70;IRSN;PRISME;DOOR;5;FDS607;TG_L2_CC_305;0.27;0.28;104.46;116.0
71;IRSN;PRISME;DOOR;5;FDS607;TG_L2_CC_280;0.34;0.31;98.46;114.0
72;IRSN;PRISME;DOOR;5;FDS607;TG_L2_CC_255;0.28;0.34;93.07;110.0
73;IRSN;PRISME;DOOR;5;FDS607;TG_L2_CC_230;0.35;0.4;85.97;108.0
74;IRSN;PRISME;DOOR;5;FDS607;TG_L2_CC_205;0.38;0.42;80.55;104.0
75;IRSN;PRISME;DOOR;5;FDS607;TG_L2_CC_180;0.43;0.43;78.86;102.0
76;IRSN;PRISME;DOOR;5;FDS607;TG_L2_CC_155;0.46;0.43;75.36;96.6
77;IRSN;PRISME;DOOR;5;FDS607;TG_L2_CC_130;0.47;0.43;72.65;93.7
78;IRSN;PRISME;DOOR;5;FDS607;TG_L2_CC_105;0.5;0.43;69.7;89.4
79;IRSN;PRISME;DOOR;5;FDS607;TG_L2_CC_080;0.61;0.47;65.56;86.0
80;IRSN;PRISME;DOOR;5;FDS607;TG_L2_CC_055;0.68;0.48;60.58;79.8
81;IRSN;PRISME;DOOR;5;FDS607;TG_L2_CC_030;0.98;0.63;52.19;74.9
82;IRSN;PRISME;DOOR;5;FDS607;TG_L2_CC_005;1.41;0.86;37.53;63.1
83;IRSN;PRISME;DOOR;5;FDS607;TG_L2_NE_390;-0.15;0.23;113.96;98.5
84;IRSN;PRISME;DOOR;5;FDS607;TG_L2_NE_380;0.32;0.3;113.33;129.0
85;IRSN;PRISME;DOOR;5;FDS607;TG_L2_NE_355;0.21;0.26;110.77;123.0
86;IRSN;PRISME;DOOR;5;FDS607;TG_L2_NE_330;0.21;0.28;106.45;120.0
87;IRSN;PRISME;DOOR;5;FDS607;TG_L2_NE_305;0.25;0.31;100.79;116.0
88;IRSN;PRISME;DOOR;5;FDS607;TG_L2_NE_280;0.28;0.33;97.59;114.0
89;IRSN;PRISME;DOOR;5;FDS607;TG_L2_NE_255;0.33;0.36;91.55;111.0
90;IRSN;PRISME;DOOR;5;FDS607;TG_L2_NE_230;0.37;0.41;84.65;108.0
91;IRSN;PRISME;DOOR;5;FDS607;TG_L2_NE_205;0.43;0.43;80.44;104.0
92;IRSN;PRISME;DOOR;5;FDS607;TG_L2_NE_180;0.45;0.45;78.19;101.0
93;IRSN;PRISME;DOOR;5;FDS607;TG_L2_NE_155;0.47;0.44;74.74;97.2
94;IRSN;PRISME;DOOR;5;FDS607;TG_L2_NE_130;0.52;0.45;71.56;93.8
95;IRSN;PRISME;DOOR;5;FDS607;TG_L2_NE_105;0.56;0.45;68.26;89.3
96;IRSN;PRISME;DOOR;5;FDS607;TG_L2_NE_080;0.59;0.47;65.56;85.9
97;IRSN;PRISME;DOOR;5;FDS607;TG_L2_NE_055;0.66;0.49;60.72;79.8
98;IRSN;PRISME;DOOR;5;FDS607;TG_L2_NE_030;0.95;0.62;52.09;74.5
99;IRSN;PRISME;DOOR;5;FDS607;TG_L2_NE_005;1.75;1.02;34.35;64.0
100;IRSN;PRISME;DOOR;5;FDS607;TG_L2_SW_390;-0.11;0.25;117.73;103.0
101;IRSN;PRISME;DOOR;5;FDS607;TG_L2_SW_380;0.27;0.31;116.32;133.0
102;IRSN;PRISME;DOOR;5;FDS607;TG_L2_SW_355;0.29;0.3;108.46;122.0
103;IRSN;PRISME;DOOR;5;FDS607;TG_L2_SW_330;0.28;0.3;105.31;119.0
104;IRSN;PRISME;DOOR;5;FDS607;TG_L2_SW_305;0.24;0.29;102.19;116.0
105;IRSN;PRISME;DOOR;5;FDS607;TG_L2_SW_280;0.3;0.31;97.63;113.0
106;IRSN;PRISME;DOOR;5;FDS607;TG_L2_SW_255;0.33;0.35;90.39;109.0
107;IRSN;PRISME;DOOR;5;FDS607;TG_L2_SW_230;0.41;0.39;84.84;107.0
108;IRSN;PRISME;DOOR;5;FDS607;TG_L2_SW_205;0.41;0.4;81.59;103.0
109;IRSN;PRISME;DOOR;5;FDS607;TG_L2_SW_180;0.44;0.43;77.85;101.0
110;IRSN;PRISME;DOOR;5;FDS607;TG_L2_SW_155;0.42;0.42;75.15;96.1
111;IRSN;PRISME;DOOR;5;FDS607;TG_L2_SW_130;0.45;0.43;72.92;94.1
112;IRSN;PRISME;DOOR;5;FDS607;TG_L2_SW_105;0.51;0.45;68.93;89.4
113;IRSN;PRISME;DOOR;5;FDS607;TG_L2_SW_080;0.58;0.47;65.62;85.5
114;IRSN;PRISME;DOOR;5;FDS607;TG_L2_SW_055;0.63;0.5;59.37;79.8
115;IRSN;PRISME;DOOR;5;FDS607;TG_L2_SW_030;0.85;0.59;52.09;74.5
116;IRSN;PRISME;DOOR;5;FDS607;TG_L2_SW_005;1.34;0.8;38.87;63.9
117;IRSN;PRISME;DOOR;5;FDS607;TG_L2_DP_230_130;0.68;0.41;91.93;110.0
118;IRSN;PRISME;DOOR;5;FDS607;TG_L2_DP_230_110;1.07;0.49;96.93;114.0
119;IRSN;PRISME;DOOR;5;FDS607;TG_L2_DP_230_090;0.59;0.54;106.19;123.0
120;IRSN;PRISME;DOOR;5;FDS607;TG_L2_DP_230_070;0.2;0.29;145.12;144.0
121;IRSN;PRISME;DOOR;5;FDS607;TG_L2_DP_230_050;-0.07;0.26;178.12;154.0
122;IRSN;PRISME;DOOR;5;FDS607;TG_L2_DP_230_030;0.04;0.25;182.23;149.0
123;IRSN;PRISME;DOOR;5;FDS607;TG_L2_DP_230_010;0.74;0.47;101.0;133.0
124;IRSN;PRISME;DOOR;5;FDS607;TG_L2_DP_305_170;0.52;0.35;105.52;119.0
125;IRSN;PRISME;DOOR;5;FDS607;TG_L2_DP_305_150;0.51;0.37;107.88;123.0
126;IRSN;PRISME;DOOR;5;FDS607;TG_L2_DP_305_130;0.29;0.31;121.77;127.0
127;IRSN;PRISME;DOOR;5;FDS607;TG_L2_DP_305_110;0.17;0.25;145.43;128.0
128;IRSN;PRISME;DOOR;5;FDS607;TG_L2_DP_305_090;0.16;0.22;142.88;131.0
129;IRSN;PRISME;DOOR;5;FDS607;TG_L2_DP_305_070;0.34;0.25;126.66;133.0
130;IRSN;PRISME;DOOR;5;FDS607;TG_L2_DP_305_050;0.54;0.29;116.93;135.0
131;IRSN;PRISME;DOOR;5;FDS607;TG_L2_DP_305_030;0.69;0.34;110.0;133.0
132;IRSN;PRISME;DOOR;5;FDS607;TG_L2_DP_380_220;0.33;0.3;124.79;139.0
133;IRSN;PRISME;DOOR;5;FDS607;TG_L2_DP_380_190;0.23;0.29;129.43;141.0
134;IRSN;PRISME;DOOR;5;FDS607;TG_L2_DP_380_170;0.22;0.27;134.38;143.0
135;IRSN;PRISME;DOOR;5;FDS607;TG_L2_DP_380_150;0.3;0.27;135.48;145.0
136;IRSN;PRISME;DOOR;5;FDS607;TG_L2_DP_380_130;0.28;0.26;137.37;145.0
137;IRSN;PRISME;DOOR;5;FDS607;TG_L2_DP_380_110;0.3;0.29;133.8;145.0
138;IRSN;PRISME;DOOR;5;FDS607;TG_L2_DP_380_090;0.41;0.32;127.41;146.0
139;IRSN;PRISME;DOOR;5;FDS607;TG_L2_DP_380_070;0.53;0.35;123.35;145.0
140;IRSN;PRISME;DOOR;5;FDS607;TG_L2_DP_380_050;0.61;0.38;118.02;144.0
141;IRSN;PRISME;DOOR;5;FDS607;TG_L2_DP_380_030;0.65;0.4;114.76;143.0
142;IRSN;PRISME;DOOR;5;FDS607;TG_L1_TA_HW;0.41;0.27;252.02;239.0
143;IRSN;PRISME;DOOR;5;FDS607;TG_L1_TA_BW;0.58;0.43;91.96;103.0
144;IRSN;PRISME;DOOR;5;FDS607;TG_L2_TA_HW;0.59;0.37;113.55;140.0
145;IRSN;PRISME;DOOR;5;FDS607;TG_L2_TA_BE;0.8;0.6;59.73;84.2
146;IRSN;PRISME;DOOR;5;FDS607;TG_L2_TA_HE;0.21;0.25;119.34;126.0
147;IRSN;PRISME;DOOR;5;FDS607;TP_L1_NC265;-0.12;0.16;96.7;81.8
148;IRSN;PRISME;DOOR;5;FDS607;TP_L1_SC265;-0.31;0.24;97.91;80.0
149;IRSN;PRISME;DOOR;5;FDS607;TP_L1_SC265_1CM;-0.0;0.06;71.25;67.6
150;IRSN;PRISME;DOOR;5;FDS607;TP_L1_EC255;-0.29;0.25;96.37;76.1
151;IRSN;PRISME;DOOR;5;FDS607;TP_L1_EC255_1CM;-0.15;0.17;79.3;63.8
152;IRSN;PRISME;DOOR;5;FDS607;TP_L1_WC260;0.05;0.14;94.44;84.3
153;IRSN;PRISME;DOOR;5;FDS607;TP_L1_WC260_1CM;-0.07;0.1;77.48;72.7
154;IRSN;PRISME;DOOR;5;FDS607;TP_L1_PL_CE;15.95;8.41;24.01;222.0
155;IRSN;PRISME;DOOR;5;FDS607;TP_L1_NE040;-0.01;0.12;40.12;38.2
156;IRSN;PRISME;DOOR;5;FDS607;TP_L1_NE155;-0.07;0.11;67.67;60.2
157;IRSN;PRISME;DOOR;5;FDS607;TP_L1_NE265;-0.15;0.18;89.78;75.6
158;IRSN;PRISME;DOOR;5;FDS607;TP_L1_NE265_1CM;-0.02;0.08;68.76;64.7
159;IRSN;PRISME;DOOR;5;FDS607;TP_L1_NE355;-0.3;0.27;111.6;86.6
160;IRSN;PRISME;DOOR;5;FDS607;TP_L1_NE355_1CM;-0.04;0.09;78.95;72.0
161;IRSN;PRISME;DOOR;5;FDS607;TP_L2_NC265;0.28;0.19;35.19;38.3
162;IRSN;PRISME;DOOR;5;FDS607;TP_L2_SC260;0.15;0.12;39.06;38.0
163;IRSN;PRISME;DOOR;5;FDS607;TP_L2_EC260;0.22;0.15;37.19;38.3
164;IRSN;PRISME;DOOR;5;FDS607;TP_L2_WC260;0.31;0.21;39.82;42.7
165;IRSN;PRISME;DOOR;5;FDS607;TP_L2_PL_CE;6.51;4.51;21.19;112.0
166;IRSN;PRISME;DOOR;5;FDS607;TP_L2_SOL_CE;0.16;0.11;25.41;27.2
167;IRSN;PRISME;DOOR;5;FDS607;TP_L2_NE030;0.14;0.1;26.32;27.8
168;IRSN;PRISME;DOOR;5;FDS607;TP_L2_NE155;0.21;0.14;31.52;33.0
169;IRSN;PRISME;DOOR;5;FDS607;TP_L2_NE260;0.17;0.14;36.44;37.1
170;IRSN;PRISME;DOOR;5;FDS607;TP_L2_NE355;-0.15;0.2;47.61;39.4
171;IRSN;PRISME;DOOR;5;FDS607;TCA_L1_HW_CENTRE;-0.38;0.38;185.89;122.0
172;IRSN;PRISME;DOOR;5;FDS607;TCA_L1_HW_INTER;-0.35;0.33;215.14;148.0
173;IRSN;PRISME;DOOR;5;FDS607;TCA_L1_HW_SURF;0.23;0.29;224.36;191.0
174;IRSN;PRISME;DOOR;5;FDS607;TCA_L1_BW_CENTRE;-0.15;0.19;82.31;63.9
175;IRSN;PRISME;DOOR;5;FDS607;TCA_L1_BW_INTER;-0.08;0.09;89.99;81.0
176;IRSN;PRISME;DOOR;5;FDS607;TCA_L1_BW_SURF;0.29;0.28;97.72;102.0
177;IRSN;PRISME;DOOR;5;FDS607;TCA_L2_HW_CENTRE;-0.13;0.23;86.27;63.0
178;IRSN;PRISME;DOOR;5;FDS607;TCA_L2_HW_INTER;-0.09;0.17;88.49;79.9
179;IRSN;PRISME;DOOR;5;FDS607;TCA_L2_HW_SURF;0.16;0.11;92.6;84.8
180;IRSN;PRISME;DOOR;5;FDS607;TCA_L2_BE_CENTRE;0.03;0.08;42.08;37.4
181;IRSN;PRISME;DOOR;5;FDS607;TCA_L2_BE_INTER;0.11;0.09;46.24;48.7
182;IRSN;PRISME;DOOR;5;FDS607;TCA_L2_BE_SURF;0.36;0.27;47.0;52.6
183;IRSN;PRISME;DOOR;5;FDS607;TCA_L2_HE_CENTRE;-0.26;0.33;91.27;56.5
184;IRSN;PRISME;DOOR;5;FDS607;TCA_L2_HE_INTER;-0.19;0.23;90.1;70.8
185;IRSN;PRISME;DOOR;5;FDS607;TCA_L2_HE_SURF;0.01;0.11;91.43;78.4
186;IRSN;PRISME;DOOR;5;FDS607;TCR_L1_HW_CENTRE;-0.31;0.29;209.29;153.0
187;IRSN;PRISME;DOOR;5;FDS607;TCR_L1_HW_INTER;-0.36;0.4;223.98;153.0
188;IRSN;PRISME;DOOR;5;FDS607;TCR_L1_HW_SURF;0.12;0.27;221.12;178.0
189;IRSN;PRISME;DOOR;5;FDS607;TCR_L1_BW_CENTRE;-0.08;0.12;80.44;70.1
190;IRSN;PRISME;DOOR;5;FDS607;TCR_L1_BW_INTER;-0.06;0.08;78.52;70.1
191;IRSN;PRISME;DOOR;5;FDS607;TCR_L1_BW_SURF;0.14;0.11;86.68;84.2
192;IRSN;PRISME;DOOR;5;FDS607;TCR_L2_HW_CENTRE;-0.08;0.15;84.71;73.7
193;IRSN;PRISME;DOOR;5;FDS607;TCR_L2_HW_INTER;-0.09;0.23;86.89;73.7
194;IRSN;PRISME;DOOR;5;FDS607;TCR_L2_HW_SURF;0.07;0.08;85.33;82.6
195;IRSN;PRISME;DOOR;5;FDS607;TCR_L2_BE_CENTRE;0.15;0.14;38.32;42.2
196;IRSN;PRISME;DOOR;5;FDS607;TCR_L2_BE_INTER;0.17;0.16;37.56;42.2
197;IRSN;PRISME;DOOR;5;FDS607;TCR_L2_BE_SURF;0.39;0.32;40.94;49.0
198;IRSN;PRISME;DOOR;5;FDS607;TCR_L2_HE_CENTRE;-0.21;0.27;89.86;65.4
199;IRSN;PRISME;DOOR;5;FDS607;TCR_L2_HE_INTER;-0.22;0.33;90.82;65.4
200;IRSN;PRISME;DOOR;5;FDS607;TCR_L2_HE_SURF;-0.12;0.18;91.57;75.4
201;IRSN;PRISME;DOOR;5;FDS607;CO_L1_FP;-0.59;0.49;0.0;0.0
202;IRSN;PRISME;DOOR;5;FDS607;CO_L1_HAUT;-0.77;0.65;0.0;0.0
203;IRSN;PRISME;DOOR;5;FDS607;CO_L1_BAS;-0.62;0.53;0.0;0.0
204;IRSN;PRISME;DOOR;5;FDS607;CO_L2_HAUT;-0.62;0.51;0.0;0.0
205;IRSN;PRISME;DOOR;5;FDS607;CO_L2_BAS;-0.56;0.48;0.0;0.0
206;IRSN;PRISME;DOOR;5;FDS607;CO2_L1_FP;-0.03;0.11;0.04;0.03
207;IRSN;PRISME;DOOR;5;FDS607;CO2_L1_HAUT;-0.14;0.24;0.05;0.05
208;IRSN;PRISME;DOOR;5;FDS607;CO2_L1_BAS;-0.08;0.24;0.04;0.04
209;IRSN;PRISME;DOOR;5;FDS607;CO2_L2_HAUT;-0.08;0.17;0.04;0.04
210;IRSN;PRISME;DOOR;5;FDS607;CO2_L2_BAS;-0.04;0.17;0.04;0.04
211;IRSN;PRISME;DOOR;5;FDS607;O2_L1_FP;-0.05;0.04;0.15;0.15
212;IRSN;PRISME;DOOR;5;FDS607;O2_L1_HAUT;0.05;0.11;0.13;0.12
213;IRSN;PRISME;DOOR;5;FDS607;O2_L1_BAS;-0.0;0.1;0.15;0.14
214;IRSN;PRISME;DOOR;5;FDS607;O2_L2_HAUT;-0.04;0.06;0.15;0.13
215;IRSN;PRISME;DOOR;5;FDS607;O2_L2_BAS;-0.06;0.06;0.15;0.14
216;IRSN;PRISME;DOOR;5;FDS607;V_L1_L2_205;-0.26;0.36;2.31;1.47
217;IRSN;PRISME;DOOR;5;FDS607;V_L1_L2_192_5;-0.1;0.38;2.0;1.17
